41268,,,ALT,,LAT DIST,LONG DIST,DIST
46332,8.9996453008,5.6666666667,85,,-16.7912000003,133.9463291737,134.994679512
46347,11.3558267783,5,75,,-31.0247999999,167.4881852371,170.337401674
46362,9.3607054073,4.9333333333,74,,-32.6927999996,136.5514998659,140.4105811092
46377,11.8742640123,4.8666666667,73,,-50.7072,170.7435582406,178.1139601842
46392,10.361143303,5.1333333333,77,,-72.0575999998,137.7032775756,155.4171495454
46407,8.536048654,4.9333333333,74,,-31.8032000003,124.0281619627,128.0407298093
46422,11.8753516006,4.5333333333,68,,-68.4992000001,164.4331296236,178.1302740088
46437,10.2711087166,4.6,69,,-31.8032000003,150.748410208,154.0666307495
46452,11.3113786283,5.3333333333,80,,-73.9479999998,152.7083257474,169.670679425
46467,10.8956852722,4.7333333333,71,,-37.3631999997,159.1071391688,163.4352790823
46482,13.9848998135,4.6,69,,-76.8392000004,195.1938971179,209.773497203
46497,12.2593785495,4.8,72,,-51.4855999996,176.5361564592,183.8906782431
46512,12.5171419717,5.2666666667,79,,-56.7119999998,178.9873983342,187.7571295755
46527,11.6673658897,5,75,,-60.8264000005,164.1000307556,175.0104883457
46542,12.0266403758,4.9333333333,74,,-5.6711999999,180.3104411968,180.3996056371
46557,12.5486235232,6,90,,-57.0455999998,179.3769461053,188.2293528475
46572,10.3422016209,5.4,81,,-31.2472000001,151.9535051409,155.1330243129
46587,12.1435580605,5.2,78,,-13.5663999997,181.6474699085,182.1533709079
46602,10.6763543232,4.8666666667,73,,-42.9232000007,154.2858411186,160.1453148486
46617,9.9048604297,4.6,69,,17.4584000002,147.5435962664,148.5729064459
46632,9.9905640915,4.2,63,,-23.4632,148.010258734,149.8584613719
46647,10.2814009392,5.5333333333,83,,6.5608,154.0813976111,154.2210140883
46662,9.9748433727,4.3333333333,65,,1.7792000002,149.612071763,149.6226505909
46677,11.9577386531,5.0666666667,76,,-2.4464000001,179.3493956181,179.3660797965
46692,10.7966265055,4.6,69,,-22.7960000001,160.3369881253,161.9493975818
46707,10.7312200568,5.2666666667,79,,-19.9047999995,159.7328795719,160.9683008525
46752,10.084314446,5.2666666667,237,,111.4224,439.902465801,453.794150072
46767,11.9227983892,5.2,78,,50.2623999995,171.6337480447,178.8419758378
46782,13.2283191799,4.5333333333,68,,-46.4815999996,192.9037512193,198.424787698
46797,14.5851019451,3.2666666667,49,,-45.9256000002,213.9018676471,218.776529176
46812,13.8580942082,3.1333333333,47,,-76.2832000002,193.3685542982,207.8714131227
46827,15.5591398631,3.4,51,,-106.3071999995,207.7698647933,233.3870979466
46842,15.9050286748,3.5333333333,53,,-154.9016,181.4489740265,238.5754301218
46857,14.6538411676,3.6666666667,55,,-141.3352000003,168.3441414421,219.8076175136
46872,15.4616802612,3.8666666667,58,,-162.9080000004,165.0765996382,231.9252039176
46887,15.2358124382,4.4666666667,67,,-188.4839999998,129.2401926281,228.5371865725
46902,13.5749692864,5.5333333333,83,,-176.6968000003,101.1987839504,203.6245392957
46917,11.4977985148,5.8666666667,88,,-139.6671999998,101.1826647643,172.4669777221
46932,9.613237811,5.4,81,,-98.6343999999,105.1878410701,144.1985671646
